Employing Organization,Position Location - State,Job Title,Company Industry (Specific),Industry Group (1 of 10),Job Title Description,Job Title Classified Group
Acacia Counseling & Wellness,Minnesota,Pre-Licensed Therapist,Healthcare - Counseling,2. Healthcare & Medical,"Provides therapeutic interventions for physical or mental health conditions, working closely with patients to improve outcomes.",Healthcare & Clinical
Lockheed Martin,Nebraska,workforce programs partner,Manufacturing - Defense & Aerospace,4. Manufacturing & Industrial,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Operations & Supply Chain
SchwanÃ¢â‚¬â„¢s Company,Minnesota,"Business Development Analyst, Integrated Business Planning",Manufacturing - Frozen Food,4. Manufacturing & Industrial,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Sales & Business Development
Lockton Re,Minnesota,Broker,Financial Services - Reinsurance Brokerage,3. Financial Services & Insurance,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Sales & Business Development
Love From USA,Minnesota,Marketing Coordinator,Nonprofit,6. Government & Public Service,"Supports marketing campaigns, coordinates events, manages social media, and assists with content creation.",Marketing & Communications
Lunds & Byerlys,Minnesota,Communications Specialist,Retail - Grocery,8. Retail & Consumer Products,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization.",Marketing & Communications
Machin Engineering,Minnesota,Project Engineer,Engineering - Consulting,"10. Construction, Engineering & Real Estate","Manages technical aspects of engineering projects, coordinating between teams to ensure projects meet specifications and deadlines.",Engineering
Maternity of Mary Church,Minnesota,Office Manager,Nonprofit - Religious,6. Government & Public Service,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Management & Leadership
Mathnasium,Minnesota,Instructor,Education - Tutoring,5. Education & Academia,"Instructs and mentors students, fostering academic growth and creating engaging learning experiences.",Education & Teaching
LoweÃ¢â‚¬â„¢s Inc.,Minnesota,Head of Performance and Insights,Retail - Home Improvement,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Design & Creative
Cargill,Minnesota,Sr. Audit Consultant,Manufacturing - Agriculture & Food,4. Manufacturing & Industrial,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges.",Finance & Accounting
McCardel Restoration,Michigan,Restoration Specialist,Construction - Restoration,"10. Construction, Engineering & Real Estate","Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization.",Engineering
Medtronic,Colorado,Electrical Engineer I,Healthcare - Medical Devices,2. Healthcare & Medical,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
Medtronic,Minnesota,Mechanical Design Engineer,Healthcare - Medical Devices,2. Healthcare & Medical,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
Medtronic,Minnesota,Advanced Analytics Analyst,Healthcare - Medical Devices,2. Healthcare & Medical,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Data & Analytics
Medtronic,Wisconsin,Finance,Healthcare - Medical Devices,2. Healthcare & Medical,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Finance & Accounting
Houlihan Lokey,Minnesota,Analyst,Financial Services - Investment Banking,3. Financial Services & Insurance,"Examines data and information to provide insights, recommendations, and support decision-making.",Finance & Accounting
MGK,Minnesota,Data Analyst,Manufacturing - Pest Control Products,4. Manufacturing & Industrial,"Collects, processes, and performs statistical analyses on large datasets to help organizations make informed decisions.",Operations & Supply Chain
Miller Milling Company,Minnesota,Financial Analyst,Manufacturing - Flour Milling,4. Manufacturing & Industrial,"Analyzes financial data, creates forecasts, and supports business decision-making through financial modeling and reporting.",Finance & Accounting
Milwaukee Tool,Wisconsin,Design Engineer 1,Manufacturing - Power Tools,4. Manufacturing & Industrial,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
Minneapolis Public Schools,Minnesota,Reserve Teacher,Education - K-12 Public School,5. Education & Academia,"Instructs and mentors students, fostering academic growth and creating engaging learning experiences.",Education & Teaching
Minnesota Catholic Conference,Minnesota,Executive Assistant,Nonprofit - Religious,6. Government & Public Service,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Administrative & Support
Minnesota Department of Corrections,Minnesota,Student Worker- Victim Services Unit,Government - State Corrections,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Government & Public Service
Minnesota Judicial Branch,Minnesota,Court Operations Associate,Government - State Judiciary,6. Government & Public Service,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time.",Operations & Supply Chain
Minnesota Judicial Branch,Minnesota,Court Operations Associate,Government - State Judiciary,6. Government & Public Service,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time.",Operations & Supply Chain
Minnesota Judicial Branch,Minnesota,Court Operations Associate,Government - State Judiciary,6. Government & Public Service,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time.",Operations & Supply Chain
