Employing Organization,Position Location - State,Job Title,Company Industry (Specific),Industry Group (1 of 10),Job Title Description
Securian Financial,Minnesota,Business Leadership Analyst,Financial Services - Insurance & Wealth,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Self-employed,Minnesota,Project Manager,Self-Employed,Other,"Plans, executes, and closes projects, managing scope, schedule, budget, and team resources."
"Semaphore Solutions, Inc.",California,Digital Media Sales Assistant,Technology - Software,1. Technology & Software,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly."
Sensonix Inc,Minnesota,Design Engineer,Manufacturing - Sensors,4. Manufacturing & Industrial,Creates detailed designs for products or components using CAD software and engineering principles.
Shenehon Company,Minnesota,Valuation Analyst,Professional Services - Valuation,7. Professional Services & Consulting,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Shining Mountain Waldorf School,Minnesota,Assistant 3rd Grade Teacher,Education - Private K-12,5. Education & Academia,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly."
"Shutterfly, Inc.",California,Sr. Lead Machine Operator,Technology - Online Photo Services,1. Technology & Software,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Sights on Service,Minnesota,Account Manager,Nonprofit - Guide Dogs,6. Government & Public Service,"Manages client relationships, ensures customer satisfaction, and identifies growth opportunities."
Sigma Beauty,Minnesota,Influencer Relations Strategist,Retail - Beauty Products,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
"Single-Ply Systems, Inc.",Minnesota,Crew Member,Manufacturing - Roofing Systems,4. Manufacturing & Industrial,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Siteimprove,,Business Development Representative,Technology - Web Accessibility,1. Technology & Software,"Serves as the primary liaison between the organization and its clients or partners, managing relationships and resolving issues."
"Skipping Stone Wealth - A private wealth advisory practice of Ameriprise Financial Services, LLC",Minnesota,Financial Planning specialist,Financial Services - Wealth Management,3. Financial Services & Insurance,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization."
Sleep Number Corporation,Minnesota,Onboarding Coordinator,Manufacturing - Mattresses,4. Manufacturing & Industrial,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track."
Smith Engineering Inc,Minnesota,Design Engineer,Engineering - Consulting,"10. Construction, Engineering & Real Estate",Creates detailed designs for products or components using CAD software and engineering principles.
Sojourners,District of Columbia,Circulation Assistant,Nonprofit - Religious / Social Justice,6. Government & Public Service,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly."
Solar Turbines,Minnesota,Engineering Associate,Manufacturing - Industrial Turbines,4. Manufacturing & Industrial,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Solutran,Minnesota,Analyst,Technology - Payment Solutions,1. Technology & Software,"Examines data and information to provide insights, recommendations, and support decision-making."
Southwest Foodservice Excellence,Arizona,Human Resources Coordinator,Hospitality - Food Service,8. Retail & Consumer Products,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track."
Sovos,Massachusetts,Compliance Services Associate,Technology - Tax Compliance Software,1. Technology & Software,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Sovos,Massachusetts,Compliance Services Associate,Technology - Tax Compliance Software,1. Technology & Software,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Sovos,Minnesota,Compliance Services,Technology - Tax Compliance Software,1. Technology & Software,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Space force,Minnesota,2d lt,Government - Military,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
SPH Enterprises,Minnesota,Finance Director,Professional Services - Consulting,7. Professional Services & Consulting,"Sets strategic direction for departments or business units, overseeing large-scale initiatives and high-level decision-making."
SPL|سُبل,Do not live in the United States,Performance Analyst,Nonprofit - International,6. Government & Public Service,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Spring Lake Park Public Schools,Minnesota,Second grade teacher,Education - K-12 Public School,5. Education & Academia,"Instructs and mentors students, fostering academic growth and creating engaging learning experiences."
Spring Lake Park School District,Minnesota,Third Grade teacher,Education - K-12 Public School,5. Education & Academia,"Instructs and mentors students, fostering academic growth and creating engaging learning experiences."
Spring Lake Park Schools,Minnesota,Student Teacher,Education - K-12 Public School,5. Education & Academia,"Instructs and mentors students, fostering academic growth and creating engaging learning experiences."
