Employing Organization,Position Location - State,Job Title,Company Industry (Specific),Industry Group (1 of 10),Job Title Description
Shenehon Company,Minnesota,Valuation Analyst,Professional Services - Valuation,7. Professional Services & Consulting,A professional analytical role focused on examining data and providing insights to support decisions.
Shining Mountain Waldorf School,Minnesota,Assistant 3rd Grade Teacher,Education - Private K-12,5. Education & Academia,"A professional support role helping with administrative tasks, scheduling, and organizational duties."
"Shutterfly, Inc.",California,Sr. Lead Machine Operator,Technology - Online Photo Services,1. Technology & Software,A specialized professional role. (Description not available - requires further research.)
Sights on Service,Minnesota,Account Manager,Nonprofit - Guide Dogs,6. Government & Public Service,"Manages client relationships, ensures customer satisfaction, and identifies growth opportunities."
Sigma Beauty,Minnesota,Influencer Relations Strategist,Retail - Beauty Products,8. Retail & Consumer Products,A specialized professional role. (Description not available - requires further research.)
"Single-Ply Systems, Inc.",Minnesota,Crew Member,Manufacturing - Roofing Systems,4. Manufacturing & Industrial,A specialized professional role. (Description not available - requires further research.)
Siteimprove,,Business Development Representative,Technology - Web Accessibility,1. Technology & Software,A professional role serving as a point of contact between an organization and its clients or partners.
"Skipping Stone Wealth - A private wealth advisory practice of Ameriprise Financial Services, LLC",Minnesota,Financial Planning specialist,Financial Services - Wealth Management,3. Financial Services & Insurance,"A professional role with deep expertise in a specific area, providing focused knowledge and skills."
Sleep Number Corporation,Minnesota,Onboarding Coordinator,Manufacturing - Mattresses,4. Manufacturing & Industrial,"A professional organizational role that manages logistics, schedules, and communication across teams."
Smith Engineering Inc,Minnesota,Design Engineer,Engineering - Consulting,"10. Construction, Engineering & Real Estate",Creates detailed designs for products or components using CAD software and engineering principles.
Sojourners,District of Columbia,Circulation Assistant,Nonprofit - Religious / Social Justice,6. Government & Public Service,"A professional support role helping with administrative tasks, scheduling, and organizational duties."
Solar Turbines,Minnesota,Engineering Associate,Manufacturing - Industrial Turbines,4. Manufacturing & Industrial,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Solutran,Minnesota,Analyst,Technology - Payment Solutions,1. Technology & Software,"Examines data and information to provide insights, recommendations, and support decision-making."
Southwest Foodservice Excellence,Arizona,Human Resources Coordinator,Hospitality - Food Service,8. Retail & Consumer Products,"A professional organizational role that manages logistics, schedules, and communication across teams."
Sovos,Massachusetts,Compliance Services Associate,Technology - Tax Compliance Software,1. Technology & Software,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Sovos,Massachusetts,Compliance Services Associate,Technology - Tax Compliance Software,1. Technology & Software,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Sovos,Minnesota,Compliance Services,Technology - Tax Compliance Software,1. Technology & Software,A specialized professional role. (Description not available - requires further research.)
Space force,Minnesota,2d lt,Government - Military,6. Government & Public Service,A specialized professional role. (Description not available - requires further research.)
SPH Enterprises,Minnesota,Finance Director,Professional Services - Consulting,7. Professional Services & Consulting,A professional senior leadership role setting strategy and overseeing departments or major functions.
SPL|سُبل,Do not live in the United States,Performance Analyst,Nonprofit - International,6. Government & Public Service,A professional analytical role focused on examining data and providing insights to support decisions.
Spring Lake Park Public Schools,Minnesota,Second grade teacher,Education - K-12 Public School,5. Education & Academia,A professional educational role focused on teaching and mentoring students.
Spring Lake Park School District,Minnesota,Third Grade teacher,Education - K-12 Public School,5. Education & Academia,A professional educational role focused on teaching and mentoring students.
Spring Lake Park Schools,Minnesota,Student Teacher,Education - K-12 Public School,5. Education & Academia,A professional educational role focused on teaching and mentoring students.
SprintRay,Florida,Corporate Development Executive,Technology - 3D Printing / Dental Tech,1. Technology & Software,A professional senior leadership role with strategic decision-making authority.
SPS Commerce,Minnesota,Human Resources,Technology - Supply Chain Software,1. Technology & Software,"A professional manages employment-related functions including hiring, benefits, and employee relations."
